22:46:07  |  Core  |  Info  |  * Shutdown: LayerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  48
22:46:07  |  Core  |  Info  |  destroy layer 'Scene'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Overlay'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'AdditiveOverlay'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'HUD'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Menu'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'MainMenu'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'JournalBooks'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Windows'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Debug'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Popup'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Notification'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'LoadingScreen'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'MessageBox'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'InputBlocker'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  destroy layer 'Pointer'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  208
22:46:07  |  Core  |  Info  |  LayerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  59
22:46:07  |  Core  |  Info  |  * Shutdown: FontManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_FontManager.cpp  |  49
22:46:07  |  Core  |  Info  |  FontManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_FontManager.cpp  |  57
22:46:07  |  Core  |  Info  |  * Shutdown: ControllerManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  49
22:46:07  |  Core  |  Info  |  ControllerManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  59
22:46:07  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  46
22:46:07  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  54
22:46:07  |  Core  |  Info  |  * Shutdown: LayoutManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  42
22:46:07  |  Core  |  Info  |  LayoutManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  49
22:46:07  |  Core  |  Info  |  * Shutdown: PluginManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  41
22:46:07  |  Core  |  Info  |  PluginManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  46
22:46:07  |  Core  |  Info  |  * Shutdown: DynLibManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  37
22:46:07  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
22:46:07  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
22:46:07  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
22:46:07  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
22:46:07  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
22:46:07  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
22:46:07  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
22:46:07  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
22:46:07  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
22:46:07  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
22:46:07  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
22:46:07  |  Core  |  Info  |  Gui successfully shutdown  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  171
22:46:07  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /home/openmwbuild/openmw/components/myguiplatform/myguirendermanager.cpp  |  368
22:46:07  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /home/openmwbuild/openmw/components/myguiplatform/myguirendermanager.cpp  |  378
